# Land cover attributes as area percentages based on the CORINE land cover database of the year 2000 by the European Copernicus Land Monitoring Service
gauge_id,crop_perc,grass_perc,scrub_perc,dwood_perc,mixed_wood_perc,ewood_perc,wetlands_perc,inwater_perc,ice_perc,loose_rock_perc,rock_perc,urban_perc,dom_land_cover
3010,8.64,26.23,0.0,6.57,13.56,12.75,3.58,0.0,0.0,0.56,0.0,28.11,urban_perc
3011,2.27,24.49,0.0,6.31,31.61,17.79,2.9,0.0,0.0,1.34,0.0,13.29,mixed_wood_perc
3012,3.97,57.71,0.0,0.14,8.46,24.32,0.0,0.0,0.0,0.0,0.0,5.4,grass_perc
3013,0.0,51.69,0.0,0.0,17.79,28.4,0.0,0.0,0.0,2.12,0.0,0.0,grass_perc
3014,0.0,29.46,0.0,3.61,44.55,14.69,0.0,0.0,0.0,0.0,0.0,7.69,mixed_wood_perc
3015,4.4,34.64,0.0,8.12,32.04,11.31,3.07,0.0,0.0,0.0,0.0,6.42,grass_perc
3016,0.0,19.81,0.0,6.06,44.5,24.0,2.79,0.0,0.0,2.83,0.0,0.0,mixed_wood_perc
3017,2.27,42.64,1.16,5.0,29.21,12.36,2.59,0.04,0.0,1.96,0.15,2.62,grass_perc
3018,0.0,27.7,0.0,1.46,6.4,22.1,7.68,2.07,2.29,11.89,16.99,1.44,grass_perc
3019,0.43,40.96,0.0,1.47,3.92,21.57,4.88,0.57,1.64,16.67,4.38,3.51,grass_perc
3020,6.28,52.95,0.0,1.12,10.26,23.86,0.35,0.0,0.0,0.0,0.0,5.18,grass_perc
3021,0.0,50.5,0.0,5.12,17.82,15.0,3.9,0.0,0.0,5.49,0.56,1.62,grass_perc
3022,0.0,41.44,0.0,0.85,11.05,15.88,7.88,0.0,0.0,18.26,4.22,0.42,grass_perc
3023,0.0,31.68,0.0,7.15,35.25,14.33,7.64,0.0,0.0,0.0,0.0,3.94,mixed_wood_perc
3024,2.63,40.5,3.77,2.09,34.24,14.65,0.94,0.15,0.0,0.0,0.0,1.02,grass_perc
3025,0.0,38.2,0.0,1.38,2.64,29.17,6.92,0.0,0.0,17.27,1.24,3.17,grass_perc
3026,0.97,35.02,4.97,2.68,51.99,2.69,1.56,0.0,0.0,0.0,0.0,0.11,mixed_wood_perc
3027,0.0,55.37,0.0,1.89,15.77,13.95,4.43,0.0,0.0,6.08,0.86,1.64,grass_perc
3028,0.28,43.55,8.09,2.43,43.37,0.82,1.47,0.0,0.0,0.0,0.0,0.0,grass_perc
3029,0.0,47.65,0.0,1.36,22.93,8.73,13.26,0.0,0.0,6.07,0.01,0.0,grass_perc
3030,0.0,61.12,0.0,0.0,12.87,6.85,4.54,0.0,0.0,13.32,1.29,0.0,grass_perc
3031,0.0,39.06,0.0,1.04,1.65,15.26,9.78,0.0,0.59,20.68,7.55,4.38,grass_perc
3032,0.0,50.94,0.0,0.0,0.0,17.82,1.11,0.0,0.0,14.84,15.29,0.0,grass_perc
3033,0.12,25.55,0.7,0.0,0.16,18.96,5.24,0.6,3.36,17.26,27.27,0.77,rock_perc
4001,1.05,22.86,0.0,2.71,63.7,9.68,0.0,0.0,0.0,0.0,0.0,0.0,mixed_wood_perc
4002,4.14,25.78,0.0,4.55,30.97,33.18,0.0,0.0,0.0,0.0,0.0,1.38,ewood_perc
4003,0.16,48.99,0.0,0.0,0.0,50.78,0.0,0.0,0.0,0.0,0.0,0.07,ewood_perc
4004,27.17,19.58,0.64,2.83,12.98,33.19,0.0,0.18,0.0,0.0,0.0,3.43,ewood_perc
4005,2.38,13.77,0.0,0.0,1.24,80.77,0.0,0.0,0.0,0.0,0.0,1.84,ewood_perc
4006,12.2,24.94,0.88,0.0,3.5,55.23,0.0,0.34,0.0,0.0,0.0,2.91,ewood_perc
4007,40.37,15.37,0.0,4.32,23.5,12.37,0.0,0.0,0.0,0.0,0.0,4.07,crop_perc
4008,38.54,15.78,0.15,5.23,21.97,9.81,0.0,0.0,0.0,0.0,0.0,8.52,crop_perc
4009,46.67,17.86,0.38,1.9,21.71,7.73,0.0,0.05,0.0,0.28,0.0,3.43,crop_perc
4010,11.47,31.28,0.94,1.13,8.46,19.17,3.43,4.63,0.57,6.64,7.4,4.88,grass_perc
4011,54.21,10.86,2.06,0.35,12.81,16.55,0.0,0.0,0.0,0.0,0.0,3.16,crop_perc
4012,48.36,11.42,0.0,1.26,13.55,23.78,0.0,0.0,0.0,0.0,0.0,1.63,crop_perc
4013,49.52,15.1,0.75,0.0,5.28,27.63,0.0,0.0,0.0,0.0,0.0,1.71,crop_perc
4014,53.89,7.9,6.82,0.0,4.35,20.73,0.67,0.0,0.0,0.0,0.0,5.64,crop_perc
4015,39.24,25.22,1.58,0.1,8.62,17.57,1.01,0.22,0.0,0.06,0.0,6.39,crop_perc
4016,12.7,55.98,0.44,0.0,2.0,25.42,0.81,0.07,0.0,0.07,0.0,2.5,grass_perc
4017,9.17,51.76,0.0,0.0,10.29,22.93,1.88,0.69,0.0,0.0,0.0,3.28,grass_perc
4018,45.56,21.84,0.0,0.0,5.07,20.22,1.64,0.21,0.0,0.0,0.0,5.45,crop_perc
4019,8.13,53.36,1.04,0.0,0.0,19.89,0.0,0.0,0.0,0.0,0.0,17.59,grass_perc
4020,6.16,56.16,0.33,0.0,3.98,29.95,1.25,0.16,0.0,0.0,0.0,2.02,grass_perc
4021,11.35,61.92,0.0,0.0,0.0,25.95,0.02,0.0,0.0,0.0,0.0,0.76,grass_perc
4022,1.78,74.14,0.0,0.0,0.0,23.12,0.11,0.0,0.0,0.0,0.0,0.85,grass_perc
4023,13.56,58.24,0.0,0.0,0.0,27.22,0.0,0.0,0.0,0.0,0.0,0.98,grass_perc
4024,0.35,38.89,5.83,0.55,19.55,32.94,0.93,0.0,0.0,0.0,0.0,0.96,grass_perc
4025,9.07,52.33,0.0,0.0,4.69,32.32,0.44,0.0,0.0,0.0,0.0,1.16,grass_perc
4026,10.49,57.4,0.0,0.0,0.0,30.97,0.0,0.0,0.0,0.0,0.0,1.13,grass_perc
5001,20.12,25.9,0.0,25.66,1.28,15.65,0.0,0.0,0.0,0.61,0.0,10.77,grass_perc
5002,1.32,37.73,0.0,18.31,0.0,42.62,0.0,0.0,0.0,0.0,0.0,0.01,ewood_perc
5003,37.15,25.73,0.0,10.95,10.74,0.0,0.0,0.0,0.0,0.0,0.0,15.42,crop_perc
5004,0.0,46.96,0.0,3.83,0.0,39.49,4.61,3.76,0.0,0.0,0.0,1.35,grass_perc
5005,2.71,22.87,5.92,0.0,5.1,60.22,1.5,0.0,0.0,0.0,0.0,1.69,ewood_perc
5006,0.0,9.55,0.0,0.0,2.88,87.57,0.0,0.0,0.0,0.0,0.0,0.0,ewood_perc
5007,33.38,3.65,0.0,13.46,2.42,47.08,0.0,0.0,0.0,0.0,0.0,0.0,ewood_perc
5008,13.09,34.32,0.58,7.87,21.47,12.16,0.65,0.0,0.0,0.13,0.0,9.73,grass_perc
5009,25.05,14.41,1.5,0.0,11.62,43.87,0.92,0.0,0.0,0.0,0.0,2.63,ewood_perc
5010,45.88,6.98,6.27,0.0,5.76,25.97,0.0,0.0,0.0,0.0,0.0,9.13,crop_perc
5011,8.78,37.34,2.72,0.11,4.48,29.81,9.98,1.15,0.0,0.21,0.0,5.41,grass_perc
5012,24.36,14.76,1.32,0.8,9.04,42.67,1.68,2.15,0.0,0.0,0.0,3.21,ewood_perc
5013,23.33,18.56,1.5,0.69,7.17,41.38,1.95,1.38,0.0,0.0,0.0,4.03,ewood_perc
5014,23.84,18.49,1.32,0.78,7.91,40.79,2.08,1.55,0.0,0.0,0.0,3.25,ewood_perc
5015,19.88,18.31,1.46,8.97,35.05,5.83,0.0,0.0,0.0,0.0,0.0,10.5,mixed_wood_perc
5016,17.04,14.93,0.35,3.65,19.09,43.67,0.0,0.0,0.0,0.0,0.0,1.28,ewood_perc
5017,0.0,44.9,0.3,0.0,5.51,18.25,2.31,0.0,0.0,8.97,16.99,2.76,grass_perc
5018,28.19,18.58,1.61,6.19,35.47,0.17,0.11,0.0,0.0,0.0,0.0,9.68,mixed_wood_perc
5019,0.64,40.59,0.0,1.45,10.15,21.0,1.03,0.0,0.0,6.54,17.55,1.05,grass_perc
5020,14.82,21.7,0.0,19.76,20.89,16.39,0.71,0.0,0.0,1.86,0.51,3.37,grass_perc
5021,18.23,26.9,1.89,0.46,5.95,36.64,4.08,1.17,0.0,0.25,0.0,4.42,ewood_perc
5022,9.07,17.8,0.33,10.77,17.47,16.53,4.43,0.06,0.72,5.6,15.02,2.2,grass_perc
5023,3.86,30.34,1.04,3.88,19.45,29.31,1.91,0.15,0.0,3.41,3.24,3.39,grass_perc
5024,6.27,36.43,0.0,0.0,17.57,35.37,0.0,0.0,0.0,0.0,0.0,4.36,grass_perc
5025,3.65,13.16,0.42,4.22,7.73,16.88,7.04,0.0,13.57,6.9,20.32,6.12,rock_perc
5026,1.9,28.25,1.94,2.07,24.69,24.71,2.92,0.15,0.0,3.25,5.02,5.11,grass_perc
5027,2.55,11.51,0.39,3.29,6.92,14.96,8.52,0.0,17.0,6.95,21.81,6.09,rock_perc
5028,7.61,35.31,0.0,0.43,2.04,42.36,0.0,0.0,0.0,4.41,1.12,6.72,ewood_perc
5029,0.43,39.02,1.12,2.36,8.92,35.32,1.69,0.0,0.0,5.33,2.89,2.93,grass_perc
5030,18.01,29.73,1.41,0.57,6.68,34.93,2.91,0.96,0.0,0.17,0.0,4.63,ewood_perc
5031,0.0,3.49,0.0,0.37,0.02,12.27,9.67,0.0,34.25,6.93,29.85,3.14,ice_perc
5032,24.39,25.82,1.14,1.38,9.26,30.04,2.33,0.82,0.0,0.14,0.0,4.69,ewood_perc
6001,0.22,14.89,0.89,0.0,3.16,2.96,5.56,0.0,18.55,6.45,47.32,0.0,rock_perc
6002,1.75,15.89,8.85,7.39,9.87,13.95,3.68,0.0,4.94,7.93,25.74,0.0,rock_perc
6003,0.64,23.6,10.47,13.52,15.28,10.83,2.36,0.98,0.23,6.32,15.64,0.12,grass_perc
6004,1.63,16.08,13.67,14.46,24.93,14.52,0.64,0.0,0.0,7.59,6.47,0.0,mixed_wood_perc
6005,2.83,22.11,9.81,8.78,11.4,16.32,3.29,0.66,2.71,6.24,15.4,0.47,grass_perc
6006,2.43,28.66,11.42,5.07,4.97,18.12,3.87,1.58,2.03,4.05,17.65,0.13,grass_perc
6007,3.63,19.39,10.62,13.57,13.23,13.66,2.99,0.49,2.16,5.6,13.46,1.21,grass_perc
6008,7.38,12.31,8.08,44.54,10.77,0.57,2.5,8.05,0.0,0.78,0.1,4.93,dwood_perc
6009,0.0,13.53,10.89,42.86,19.93,2.26,8.41,0.0,0.0,1.86,0.0,0.26,dwood_perc
6010,2.61,15.44,5.59,41.78,21.74,3.02,4.02,0.02,0.0,0.0,0.0,5.79,dwood_perc
6011,4.38,14.3,3.72,27.46,8.71,12.35,5.25,4.86,0.65,5.18,7.75,5.38,dwood_perc
